400 3
0.444241 -0.722536 0.444241
0.477476 -0.713968 0.477476
0.510380 -0.705571 0.510380
0.542925 -0.697314 0.542925
0.575086 -0.689163 0.575086
0.606838 -0.681089 0.606838
0.638158 -0.673059 0.638158
0.669023 -0.665044 0.669023
0.699411 -0.657012 0.699411
0.729302 -0.648935 0.729302
0.758678 -0.640784 0.758678
0.787521 -0.632531 0.787521
0.815814 -0.624148 0.815814
0.843541 -0.615608 0.843541
0.870690 -0.606888 0.870690
0.897245 -0.597961 0.897245
0.923197 -0.588805 0.923197
0.948534 -0.579397 0.948534
0.973246 -0.569716 0.973246
0.997325 -0.559743 0.997325
1.020763 -0.549460 1.020763
1.043555 -0.538848 1.043555
1.065694 -0.527893 1.065694
1.087176 -0.516580 1.087176
1.107998 -0.504897 1.107998
1.128157 -0.492832 1.128157
1.147650 -0.480377 1.147650
1.166478 -0.467522 1.166478
1.184639 -0.454263 1.184639
1.202133 -0.440593 1.202133
1.218963 -0.426511 1.218963
1.235129 -0.412016 1.235129
1.250632 -0.397106 1.250632
1.265477 -0.381786 1.265477
1.279665 -0.366059 1.279665
1.293200 -0.349930 1.293200
1.306085 -0.333406 1.306085
1.318325 -0.316497 1.318325
1.329922 -0.299213 1.329922
1.340881 -0.281566 1.340881
1.351206 -0.263570 1.351206
1.360900 -0.245240 1.360900
1.369969 -0.226592 1.369969
1.378416 -0.207645 1.378416
1.386244 -0.188419 1.386244
1.393458 -0.168933 1.393458
1.400059 -0.149210 1.400059
1.406052 -0.129272 1.406052
1.411439 -0.109145 1.411439
1.416222 -0.088853 1.416222
1.420403 -0.068422 1.420403
1.423983 -0.047880 1.423983
1.426963 -0.027253 1.426963
1.429343 -0.006570 1.429343
1.431123 0.014140 1.431123
1.432303 0.034849 1.432303
1.432880 0.055526 1.432880
1.432852 0.076142 1.432852
1.432218 0.096667 1.432218
1.430973 0.117071 1.430973
1.429114 0.137325 1.429114
1.426636 0.157399 1.426636
1.423534 0.177264 1.423534
1.419802 0.196891 1.419802
1.415434 0.216252 1.415434
1.410422 0.235321 1.410422
1.404760 0.254070 1.404760
1.398439 0.272473 1.398439
1.391451 0.290506 1.391451
1.383786 0.308145 1.383786
1.375435 0.325367 1.375435
1.366388 0.342152 1.366388
1.356635 0.358480 1.356635
1.346166 0.374333 1.346166
1.334970 0.389693 1.334970
1.323035 0.404546 1.323035
1.310351 0.418879 1.310351
1.296907 0.432679 1.296907
1.282692 0.445938 1.282692
1.267695 0.458647 1.267695
1.251905 0.470801 1.251905
1.235311 0.482396 1.235311
1.217904 0.493430 1.217904
1.199673 0.503903 1.199673
1.180609 0.513819 1.180609
1.160704 0.523180 1.160704
1.139949 0.531995 1.139949
1.118336 0.540272 1.118336
1.095860 0.548021 1.095860
1.072514 0.555257 1.072514
1.048294 0.561993 1.048294
1.023196 0.568248 1.023196
0.997217 0.574040 0.997217
0.970357 0.579391 0.970357
0.942616 0.584323 0.942616
0.913994 0.588862 0.913994
0.884495 0.593035 0.884495
0.854124 0.596870 0.854124
0.822886 0.600397 0.822886
0.790790 0.603648 0.790790
0.757845 0.606656 0.757845
0.724062 0.609457 0.724062
0.689455 0.612086 0.689455
0.654040 0.614579 0.654040
0.617833 0.616976 0.617833
0.580855 0.619316 0.580855
0.543126 0.621638 0.543126
0.504671 0.623984 0.504671
0.465515 0.626394 0.465515
0.425687 0.628911 0.425687
0.385216 0.631577 0.385216
0.344136 0.634435 0.344136
0.302481 0.637526 0.302481
0.260288 0.640895 0.260288
0.217597 0.644583 0.217597
0.174450 0.648633 0.174450
0.130889 0.653086 0.130889
0.086962 0.657985 0.086962
0.042717 0.663370 0.042717
-0.001797 0.669283 -0.001797
-0.046526 0.675762 -0.046526
-0.091416 0.682846 -0.091416
-0.136411 0.690573 -0.136411
-0.181452 0.698982 -0.181452
-0.226479 0.708106 -0.226479
-0.271429 0.717982 -0.271429
-0.316240 0.728642 -0.316240
-0.360845 0.740120 -0.360845
-0.405179 0.752446 -0.405179
-0.449173 0.765651 -0.449173
-0.492759 0.779763 -0.492759
-0.535865 0.794810 -0.535865
-0.578421 0.810818 -0.578421
-0.620355 0.827811 -0.620355
-0.661594 0.845814 -0.661594
-0.702066 0.864848 -0.702066
-0.741697 0.884934 -0.741697
-0.780414 0.906093 -0.780414
-0.818143 0.928344 -0.818143
-0.854812 0.951702 -0.854812
-0.890349 0.976186 -0.890349
-0.924680 1.001810 -0.924680
-0.957736 1.028589 -0.957736
-0.989448 1.056535 -0.989448
-1.019746 1.085661 -1.019746
-1.048563 1.115979 -1.048563
-1.075836 1.147497 -1.075836
-1.101501 1.180226 -1.101501
-1.125498 1.214173 -1.125498
-1.147769 1.249344 -1.147769
-1.168259 1.285747 -1.168259
-1.186916 1.323384 -1.186916
-1.203692 1.362260 -1.203692
-1.218540 1.402373 -1.218540
-1.231422 1.443725 -1.231422
-1.242298 1.486311 -1.242298
-1.251138 1.530126 -1.251138
-1.257912 1.575162 -1.257912
-1.262598 1.621405 -1.262598
-1.265178 1.668842 -1.265178
-1.265640 1.717451 -1.265640
-1.263976 1.767206 -1.263976
-1.260185 1.818077 -1.260185
-1.254273 1.870024 -1.254273
-1.246251 1.923003 -1.246251
-1.236136 1.976958 -1.236136
-1.223953 2.031825 -1.223953
-1.209732 2.087527 -1.209732
-1.193512 2.143976 -1.193512
-1.175338 2.201070 -1.175338
-1.155262 2.258688 -1.155262
-1.133342 2.316696 -1.133342
-1.109646 2.374936 -1.109646
-1.084246 2.433229 -1.084246
-1.057224 2.491375 -1.057224
-1.028667 2.549143 -1.028667
-0.998670 2.606275 -0.998670
-0.967334 2.662480 -0.967334
-0.934767 2.717433 -0.934767
-0.901083 2.770768 -0.901083
-0.866404 2.822080 -0.866404
-0.830854 2.870916 -0.830854
-0.794566 2.916776 -0.794566
-0.757674 2.959105 -0.757674
-0.720319 2.997291 -0.720319
-0.682644 3.030661 -0.682644
-0.644797 3.058476 -0.644797
-0.606926 3.079923 -0.606926
-0.569181 3.094116 -0.569181
-0.531713 3.100087 -0.531713
-0.494672 3.096782 -0.494672
-0.458207 3.083056 -0.458207
-0.422464 3.057664 -0.422464
-0.387586 3.019263 -0.387586
